first,second,third 
Merchandise trade (% of GDP),['/indicator/TG.VAL.TOTL.GD.ZS?downloadformat=excel
Net barter terms of trade index (2000 = 100),['/indicator/TT.PRI.MRCH.XD.WD?downloadformat=excel
"Net trade in goods (BoP, current US$)",['/indicator/BN.GSR.MRCH.CD?downloadformat=excel
"Net trade in goods and services (BoP, current US$)",['/indicator/BN.GSR.GNFS.CD?downloadformat=excel
Ores and metals exports (% of merchandise exports),['/indicator/TX.VAL.MMTL.ZS.UN?downloadformat=excel
Ores and metals imports (% of merchandise imports),['/indicator/TM.VAL.MMTL.ZS.UN?downloadformat=excel
"Service exports (BoP, current US$)",['/indicator/BX.GSR.NFSV.CD?downloadformat=excel
"Service imports (BoP, current US$)",['/indicator/BM.GSR.NFSV.CD?downloadformat=excel
"Share of tariff lines with international peaks, all products (%)",['/indicator/TM.TAX.MRCH.IP.ZS?downloadformat=excel
"Share of tariff lines with international peaks, manufactured products (%)",['/indicator/TM.TAX.MANF.IP.ZS?downloadformat=excel
"Share of tariff lines with international peaks, primary products (%)",['/indicator/TM.TAX.TCOM.IP.ZS?downloadformat=excel
"Share of tariff lines with specific rates, all products (%)",['/indicator/TM.TAX.MRCH.SR.ZS?downloadformat=excel
"Share of tariff lines with specific rates, manufactured products (%)",['/indicator/TM.TAX.MANF.SR.ZS?downloadformat=excel
"Share of tariff lines with specific rates, primary products (%)",['/indicator/TM.TAX.TCOM.SR.ZS?downloadformat=excel
"Tariff rate, applied, simple mean, all products (%)",['/indicator/TM.TAX.MRCH.SM.AR.ZS?downloadformat=excel
"Tariff rate, applied, simple mean, manufactured products (%)",['/indicator/TM.TAX.MANF.SM.AR.ZS?downloadformat=excel
"Tariff rate, applied, simple mean, primary products (%)",['/indicator/TM.TAX.TCOM.SM.AR.ZS?downloadformat=excel
"Tariff rate, applied, weighted mean, all products (%)",['/indicator/TM.TAX.MRCH.WM.AR.ZS?downloadformat=excel
"Tariff rate, applied, weighted mean, manufactured products (%)",['/indicator/TM.TAX.MANF.WM.AR.ZS?downloadformat=excel
"Tariff rate, applied, weighted mean, primary products (%)",['/indicator/TM.TAX.TCOM.WM.AR.ZS?downloadformat=excel
"Tariff rate, most favored nation, simple mean, all products (%)",['/indicator/TM.TAX.MRCH.SM.FN.ZS?downloadformat=excel
"Tariff rate, most favored nation, simple mean, manufactured products (%)",['/indicator/TM.TAX.MANF.SM.FN.ZS?downloadformat=excel
"Tariff rate, most favored nation, simple mean, primary products (%)",['/indicator/TM.TAX.TCOM.SM.FN.ZS?downloadformat=excel
"Tariff rate, most favored nation, weighted mean, all products (%)",['/indicator/TM.TAX.MRCH.WM.FN.ZS?downloadformat=excel
"Tariff rate, most favored nation, weighted mean, manufactured products (%)",['/indicator/TM.TAX.MANF.WM.FN.ZS?downloadformat=excel
"Tariff rate, most favored nation, weighted mean, primary products (%)",['/indicator/TM.TAX.TCOM.WM.FN.ZS?downloadformat=excel
Taxes on exports (% of tax revenue),['/indicator/GC.TAX.EXPT.ZS?downloadformat=excel
Time to export (days),['/indicator/IC.EXP.DURS?downloadformat=excel
"Time to export, border compliance (hours)",['/indicator/IC.EXP.TMBC?downloadformat=excel
"Time to export, documentary compliance (hours)",['/indicator/IC.EXP.TMDC?downloadformat=excel
Time to import (days),['/indicator/IC.IMP.DURS?downloadformat=excel
"Time to import, border compliance (hours)",['/indicator/IC.IMP.TMBC?downloadformat=excel
"Time to import, documentary compliance (hours)",['/indicator/IC.IMP.TMDC?downloadformat=excel
Trade (% of GDP),['/indicator/NE.TRD.GNFS.ZS?downloadformat=excel
Trade in services (% of GDP),['/indicator/BG.GSR.NFSV.GD.ZS?downloadformat=excel
Transport services (% of commercial service exports),['/indicator/TX.VAL.TRAN.ZS.WT?downloadformat=excel
Transport services (% of commercial service imports),['/indicator/TM.VAL.TRAN.ZS.WT?downloadformat=excel
"Transport services (% of service exports, BoP)",['/indicator/BX.GSR.TRAN.ZS?downloadformat=excel
"Transport services (% of service imports, BoP)",['/indicator/BM.GSR.TRAN.ZS?downloadformat=excel
Travel services (% of commercial service exports),['/indicator/TX.VAL.TRVL.ZS.WT?downloadformat=excel
Travel services (% of commercial service imports),['/indicator/TM.VAL.TRVL.ZS.WT?downloadformat=excel
"Travel services (% of service exports, BoP)",['/indicator/BX.GSR.TRVL.ZS?downloadformat=excel
"Travel services (% of service imports, BoP)",['/indicator/BM.GSR.TRVL.ZS?downloadformat=excel
"Access to electricity, urban (% of urban population)",['/indicator/EG.ELC.ACCS.UR.ZS?downloadformat=excel
"Improved sanitation facilities, urban (% of urban population with access)",['/indicator/SH.STA.ACSN.UR?downloadformat=excel
"Improved water source, urban (% of urban population with access)",['/indicator/SH.H2O.SAFE.UR.ZS?downloadformat=excel
"Mortality caused by road traffic injury (per 100,000 people)",['/indicator/SH.STA.TRAF.P5?downloadformat=excel
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",['/indicator/EN.ATM.PM25.MC.M3?downloadformat=excel
"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",['/indicator/EN.ATM.PM25.MC.ZS?downloadformat=excel
Population density (people per sq. km of land area),['/indicator/EN.POP.DNST?downloadformat=excel
Population in largest city,['/indicator/EN.URB.LCTY?downloadformat=excel
Population in the largest city (% of urban population),['/indicator/EN.URB.LCTY.UR.ZS?downloadformat=excel
Population in urban agglomerations of more than 1 million,['/indicator/EN.URB.MCTY?downloadformat=excel
Population in urban agglomerations of more than 1 million (% of total population),['/indicator/EN.URB.MCTY.TL.ZS?downloadformat=excel
Population living in slums (% of urban population),['/indicator/EN.POP.SLUM.UR.ZS?downloadformat=excel
Pump price for diesel fuel (US$ per liter),['/indicator/EP.PMP.DESL.CD?downloadformat=excel
Pump price for gasoline (US$ per liter),['/indicator/EP.PMP.SGAS.CD?downloadformat=excel
Urban land area (sq. km),['/indicator/AG.LND.TOTL.UR.K2?downloadformat=excel
Urban land area where elevation is below 5 meters (% of total land area),['/indicator/AG.LND.EL5M.UR.ZS?downloadformat=excel
Urban land area where elevation is below 5 meters (sq. km),['/indicator/AG.LND.EL5M.UR.K2?downloadformat=excel
Urban population,['/indicator/SP.URB.TOTL?downloadformat=excel
Urban population (% of total),['/indicator/SP.URB.TOTL.IN.ZS?downloadformat=excel
Urban population growth (annual %),['/indicator/SP.URB.GROW?downloadformat=excel
Urban population living in areas where elevation is below 5 meters (% of total population),['/indicator/EN.POP.EL5M.UR.ZS?downloadformat=excel
Urban poverty gap at national poverty lines (%),['/indicator/SI.POV.URGP?downloadformat=excel
Urban poverty headcount ratio at national poverty lines (% of urban population),['/indicator/SI.POV.URHC?downloadformat=excel
indi_url,indi_name
downloadformat=excel,"Access to electricity, rural (% of rural population)"
downloadformat=excel,Agricultural irrigated land (% of total agricultural land)
downloadformat=excel,Agricultural land (% of land area)
downloadformat=excel,Agricultural land (sq. km)
downloadformat=excel,"Agricultural machinery, tractors"
downloadformat=excel,"Agricultural machinery, tractors per 100 sq. km of arable land"
downloadformat=excel,Agricultural methane emissions (% of total)
downloadformat=excel,Agricultural methane emissions (thousand metric tons of CO2 equivalent)
downloadformat=excel,Agricultural nitrous oxide emissions (% of total)
downloadformat=excel,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)
downloadformat=excel,Agricultural raw materials exports (% of merchandise exports)
downloadformat=excel,Agricultural raw materials imports (% of merchandise imports)
downloadformat=excel,Agriculture value added per worker (constant 2010 US$)
downloadformat=excel,"Agriculture, value added (% of GDP)"
downloadformat=excel,"Agriculture, value added (current US$)"
downloadformat=excel,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)"
downloadformat=excel,Arable land (% of land area)
downloadformat=excel,Arable land (hectares per person)
downloadformat=excel,Arable land (hectares)
downloadformat=excel,Average precipitation in depth (mm per year)
downloadformat=excel,Cereal production (metric tons)
downloadformat=excel,Cereal yield (kg per hectare)
downloadformat=excel,Crop production index (2004-2006 = 100)
downloadformat=excel,Employment in agriculture (% of total employment)
downloadformat=excel,"Employment in agriculture, female (% of female employment)"
downloadformat=excel,"Employment in agriculture, male (% of male employment)"
downloadformat=excel,Fertilizer consumption (% of fertilizer production)
downloadformat=excel,Fertilizer consumption (kilograms per hectare of arable land)
downloadformat=excel,Food production index (2004-2006 = 100)
downloadformat=excel,Forest area (% of land area)
downloadformat=excel,Forest area (sq. km)
downloadformat=excel,"Improved sanitation facilities, rural (% of rural population with access)"
downloadformat=excel,"Improved water source, rural (% of rural population with access)"
downloadformat=excel,Land area (sq. km)
downloadformat=excel,Land under cereal production (hectares)
downloadformat=excel,Livestock production index (2004-2006 = 100)
downloadformat=excel,Permanent cropland (% of land area)
downloadformat=excel,Rural land area (sq. km)
downloadformat=excel,Rural land area where elevation is below 5 meters (% of total land area)
downloadformat=excel,Rural land area where elevation is below 5 meters (sq. km)
downloadformat=excel,Rural population
downloadformat=excel,Rural population (% of total population)
downloadformat=excel,Rural population growth (annual %)
downloadformat=excel,Rural population living in areas where elevation is below 5 meters (% of total population)
downloadformat=excel,Rural poverty gap at national poverty lines (%)
downloadformat=excel,Rural poverty headcount ratio at national poverty lines (% of rural population)
downloadformat=excel,Surface area (sq. km)
downloadformat=excel,Debt forgiveness grants (current US$)
downloadformat=excel,"Grants, excluding technical cooperation (BoP, current US$)"
downloadformat=excel,IDA grants (current US$)
downloadformat=excel,Improved sanitation facilities (% of population with access)
downloadformat=excel,"Incidence of tuberculosis (per 100,000 people)"
downloadformat=excel,Income share held by lowest 20%
downloadformat=excel,"Maternal mortality ratio (modeled estimate, per 100,000 live births)"
downloadformat=excel,"Mortality rate, under-5 (per 1,000 live births)"
downloadformat=excel,Net ODA received (% of GNI)
downloadformat=excel,Net ODA received (% of central government expense)
downloadformat=excel,Net ODA received (% of gross capital formation)
downloadformat=excel,"Net ODA received (% of imports of goods, services and primary income)"
downloadformat=excel,Net ODA received per capita (current US$)
downloadformat=excel,"Net bilateral aid flows from DAC donors, Australia (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Austria (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Belgium (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Canada (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Czech Republic (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Denmark (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, European Union institutions (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Finland (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, France (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Germany (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Greece (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Iceland (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Ireland (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Italy (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Japan (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Luxembourg (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Netherlands (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, New Zealand (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Norway (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Poland (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Portugal (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Slovenia (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Spain (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Sweden (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Switzerland (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, Total (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)"
downloadformat=excel,"Net bilateral aid flows from DAC donors, United States (current US$)"
downloadformat=excel,Net migration
downloadformat=excel,Net official aid received (constant 2014 US$)
downloadformat=excel,Net official aid received (current US$)
downloadformat=excel,Net official development assistance and official aid received (constant 2013 US$)
downloadformat=excel,Net official development assistance and official aid received (current US$)
downloadformat=excel,Net official development assistance received (constant 2014 US$)
downloadformat=excel,Net official development assistance received (current US$)
downloadformat=excel,"Net official flows from UN agencies, FAO (current US$)"
downloadformat=excel,"Net official flows from UN agencies, IAEA (current US$)"
downloadformat=excel,"Net official flows from UN agencies, IFAD (current US$)"
downloadformat=excel,"Net official flows from UN agencies, ILO (current US$)"
downloadformat=excel,"Net official flows from UN agencies, UNAIDS (current US$)"
downloadformat=excel,"Net official flows from UN agencies, UNDP (current US$)"
downloadformat=excel,"Net official flows from UN agencies, UNECE (current US$)"
downloadformat=excel,"Net official flows from UN agencies, UNFPA (current US$)"
downloadformat=excel,"Net official flows from UN agencies, UNHCR (current US$)"
downloadformat=excel,"Net official flows from UN agencies, UNICEF (current US$)"
downloadformat=excel,"Net official flows from UN agencies, UNPBF (current US$)"
downloadformat=excel,"Net official flows from UN agencies, UNRWA (current US$)"
downloadformat=excel,"Net official flows from UN agencies, UNTA (current US$)"
downloadformat=excel,"Net official flows from UN agencies, WFP (current US$)"
downloadformat=excel,"Net official flows from UN agencies, WHO (current US$)"
downloadformat=excel,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)
downloadformat=excel,Pregnant women receiving prenatal care (%)
downloadformat=excel,"Prevalence of HIV, total (% of population ages 15-49)"
downloadformat=excel,"Prevalence of stunting, height for age (% of children under 5)"
downloadformat=excel,"Primary completion rate, total (% of relevant age group)"
downloadformat=excel,"School enrollment, primary and secondary (gross), gender parity index (GPI)"
downloadformat=excel,"Technical cooperation grants (BoP, current US$)"
downloadformat=excel,"Vulnerable employment, total (% of total employment)"
downloadformat=excel,Access to electricity (% of population)
downloadformat=excel,Agricultural irrigated land (% of total agricultural land)
downloadformat=excel,Agricultural land (% of land area)
downloadformat=excel,Agricultural land (sq. km)
downloadformat=excel,"Agriculture, value added (% of GDP)"
downloadformat=excel,"Annual freshwater withdrawals, total (% of internal resources)"
downloadformat=excel,"Annual freshwater withdrawals, total (billion cubic meters)"
downloadformat=excel,Arable land (% of land area)
downloadformat=excel,Average precipitation in depth (mm per year)
downloadformat=excel,CO2 emissions (kg per 2010 US$ of GDP)
downloadformat=excel,CO2 emissions (kg per 2011 PPP $ of GDP)
downloadformat=excel,CO2 emissions (kg per PPP $ of GDP)
downloadformat=excel,CO2 emissions (kt)
downloadformat=excel,CO2 emissions (metric tons per capita)
downloadformat=excel,CO2 emissions from gaseous fuel consumption (% of total)
downloadformat=excel,CO2 emissions from gaseous fuel consumption (kt)
downloadformat=excel,CO2 emissions from liquid fuel consumption (% of total)
downloadformat=excel,CO2 emissions from liquid fuel consumption (kt)
downloadformat=excel,CO2 emissions from solid fuel consumption (% of total)
downloadformat=excel,CO2 emissions from solid fuel consumption (kt)
downloadformat=excel,CO2 intensity (kg per kg of oil equivalent energy use)
downloadformat=excel,CPIA public sector management and institutions cluster average (1=low to 6=high)
downloadformat=excel,Cereal yield (kg per hectare)
downloadformat=excel,"Community health workers (per 1,000 people)"
downloadformat=excel,Disaster risk reduction progress score (1-5 scale; 5=best)
downloadformat=excel,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)"
downloadformat=excel,Ease of doing business index (1=most business-friendly regulations)
downloadformat=excel,Electric power consumption (kWh per capita)
downloadformat=excel,Electricity production from coal sources (% of total)
downloadformat=excel,Electricity production from hydroelectric sources (% of total)
downloadformat=excel,Electricity production from natural gas sources (% of total)
downloadformat=excel,Electricity production from nuclear sources (% of total)
downloadformat=excel,Electricity production from oil sources (% of total)
downloadformat=excel,"Electricity production from renewable sources, excluding hydroelectric (% of total)"
downloadformat=excel,"Electricity production from renewable sources, excluding hydroelectric (kWh)"
downloadformat=excel,Energy use (kg of oil equivalent per capita)
downloadformat=excel,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)"
downloadformat=excel,"Foreign direct investment, net inflows (% of GDP)"
downloadformat=excel,Forest area (% of land area)
downloadformat=excel,Forest area (sq. km)
downloadformat=excel,GHG net emissions/removals by LUCF (Mt of CO2 equivalent)
downloadformat=excel,HFC gas emissions (thousand metric tons of CO2 equivalent)
downloadformat=excel,Improved sanitation facilities (% of population with access)
downloadformat=excel,Improved water source (% of population with access)
downloadformat=excel,"Improved water source, rural (% of rural population with access)"
downloadformat=excel,"Improved water source, urban (% of urban population with access)"
downloadformat=excel,Land area where elevation is below 5 meters (% of total land area)
downloadformat=excel,Marine protected areas (% of territorial waters)
downloadformat=excel,Methane emissions (% change from 1990)
downloadformat=excel,Methane emissions (kt of CO2 equivalent)
downloadformat=excel,"Mortality rate, under-5 (per 1,000 live births)"
downloadformat=excel,Nitrous oxide emissions (% change from 1990)
downloadformat=excel,Nitrous oxide emissions (thousand metric tons of CO2 equivalent)
downloadformat=excel,Other greenhouse gas emissions (% change from 1990)
downloadformat=excel,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)"
downloadformat=excel,PFC gas emissions (thousand metric tons of CO2 equivalent)
downloadformat=excel,Population growth (annual %)
downloadformat=excel,Population in urban agglomerations of more than 1 million (% of total population)
downloadformat=excel,Population living in areas where elevation is below 5 meters (% of total population)
downloadformat=excel,"Population, total"
downloadformat=excel,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)
downloadformat=excel,"Prevalence of underweight, weight for age (% of children under 5)"
downloadformat=excel,"Primary completion rate, total (% of relevant age group)"
downloadformat=excel,Renewable electricity output (% of total electricity output)
downloadformat=excel,Renewable energy consumption (% of total final energy consumption)
downloadformat=excel,Rural land area where elevation is below 5 meters (% of total land area)
downloadformat=excel,Rural land area where elevation is below 5 meters (sq. km)
downloadformat=excel,Rural population living in areas where elevation is below 5 meters (% of total population)
downloadformat=excel,SF6 gas emissions (thousand metric tons of CO2 equivalent)
downloadformat=excel,"School enrollment, primary and secondary (gross), gender parity index (GPI)"
downloadformat=excel,Terrestrial and marine protected areas (% of total territorial area)
downloadformat=excel,Terrestrial protected areas (% of total land area)
downloadformat=excel,Total greenhouse gas emissions (% change from 1990)
downloadformat=excel,Total greenhouse gas emissions (kt of CO2 equivalent)
downloadformat=excel,Urban land area where elevation is below 5 meters (% of total land area)
downloadformat=excel,Urban land area where elevation is below 5 meters (sq. km)
downloadformat=excel,Urban population
downloadformat=excel,Urban population (% of total)
downloadformat=excel,Urban population growth (annual %)
downloadformat=excel,Urban population living in areas where elevation is below 5 meters (% of total population)
downloadformat=excel,"2005 PPP conversion factor, GDP (LCU per international $)"
downloadformat=excel,"2005 PPP conversion factor, private consumption (LCU per international $)"
downloadformat=excel,Adjusted net national income (annual % growth)
downloadformat=excel,Adjusted net national income (constant 2010 US$)
downloadformat=excel,Adjusted net national income (current US$)
downloadformat=excel,Adjusted net national income per capita (annual % growth)
downloadformat=excel,Adjusted net national income per capita (constant 2010 US$)
downloadformat=excel,Adjusted net national income per capita (current US$)
downloadformat=excel,"Adjusted net savings, excluding particulate emission damage (% of GNI)"
downloadformat=excel,"Adjusted net savings, excluding particulate emission damage (current US$)"
downloadformat=excel,"Adjusted net savings, including particulate emission damage (% of GNI)"
downloadformat=excel,"Adjusted net savings, including particulate emission damage (current US$)"
downloadformat=excel,Adjusted savings: carbon dioxide damage (% of GNI)
downloadformat=excel,Adjusted savings: carbon dioxide damage (current US$)
downloadformat=excel,Adjusted savings: consumption of fixed capital (% of GNI)
downloadformat=excel,Adjusted savings: consumption of fixed capital (current US$)
downloadformat=excel,Adjusted savings: education expenditure (% of GNI)
downloadformat=excel,Adjusted savings: education expenditure (current US$)
downloadformat=excel,Adjusted savings: energy depletion (% of GNI)
downloadformat=excel,Adjusted savings: energy depletion (current US$)
downloadformat=excel,Adjusted savings: gross savings (% of GNI)
downloadformat=excel,Adjusted savings: mineral depletion (% of GNI)
downloadformat=excel,Adjusted savings: mineral depletion (current US$)
downloadformat=excel,Adjusted savings: natural resources depletion (% of GNI)
downloadformat=excel,Adjusted savings: net forest depletion (% of GNI)
downloadformat=excel,Adjusted savings: net forest depletion (current US$)
downloadformat=excel,Adjusted savings: net national savings (% of GNI)
downloadformat=excel,Adjusted savings: net national savings (current US$)
downloadformat=excel,Adjusted savings: particulate emission damage (% of GNI)
downloadformat=excel,Adjusted savings: particulate emission damage (current US$)
downloadformat=excel,"Agriculture, value added (% of GDP)"
downloadformat=excel,"Agriculture, value added (annual % growth)"
downloadformat=excel,"Agriculture, value added (constant 2010 US$)"
downloadformat=excel,"Agriculture, value added (constant LCU)"
downloadformat=excel,"Agriculture, value added (current LCU)"
downloadformat=excel,"Agriculture, value added (current US$)"
downloadformat=excel,"Central government debt, total (% of GDP)"
downloadformat=excel,Changes in inventories (constant LCU)
downloadformat=excel,Changes in inventories (current LCU)
downloadformat=excel,Changes in inventories (current US$)
downloadformat=excel,"Charges for the use of intellectual property, payments (BoP, current US$)"
downloadformat=excel,"Charges for the use of intellectual property, receipts (BoP, current US$)"
downloadformat=excel,Chemicals (% of value added in manufacturing)
downloadformat=excel,"Communications, computer, etc. (% of service exports, BoP)"
downloadformat=excel,"Communications, computer, etc. (% of service imports, BoP)"
downloadformat=excel,Current account balance (% of GDP)
downloadformat=excel,"Current account balance (BoP, current US$)"
downloadformat=excel,DEC alternative conversion factor (LCU per US$)
downloadformat=excel,Discrepancy in expenditure estimate of GDP (constant LCU)
downloadformat=excel,Discrepancy in expenditure estimate of GDP (current LCU)
downloadformat=excel,Expense (% of GDP)
downloadformat=excel,Exports as a capacity to import (constant LCU)
downloadformat=excel,Exports of goods and services (% of GDP)
downloadformat=excel,"Exports of goods and services (BoP, current US$)"
downloadformat=excel,Exports of goods and services (annual % growth)
downloadformat=excel,Exports of goods and services (constant 2010 US$)
downloadformat=excel,Exports of goods and services (constant LCU)
downloadformat=excel,Exports of goods and services (current LCU)
downloadformat=excel,Exports of goods and services (current US$)
downloadformat=excel,"Exports of goods, services and primary income (BoP, current US$)"
downloadformat=excel,External balance on goods and services (% of GDP)
downloadformat=excel,External balance on goods and services (constant LCU)
downloadformat=excel,External balance on goods and services (current LCU)
downloadformat=excel,External balance on goods and services (current US$)
downloadformat=excel,External debt stocks (% of GNI)
downloadformat=excel,"External debt stocks (% of exports of goods, services and primary income)"
downloadformat=excel,"External debt stocks, total (DOD, current US$)"
downloadformat=excel,Final consumption expenditure (constant 2010 US$)
downloadformat=excel,Final consumption expenditure (constant LCU)
downloadformat=excel,Final consumption expenditure (current LCU)
downloadformat=excel,Final consumption expenditure (current US$)
downloadformat=excel,"Final consumption expenditure, etc. (% of GDP)"
downloadformat=excel,"Final consumption expenditure, etc. (annual % growth)"
downloadformat=excel,"Final consumption expenditure, etc. (constant 2010 US$)"
downloadformat=excel,"Final consumption expenditure, etc. (constant LCU)"
downloadformat=excel,"Final consumption expenditure, etc. (current LCU)"
downloadformat=excel,"Final consumption expenditure, etc. (current US$)"
downloadformat=excel,"Food, beverages and tobacco (% of value added in manufacturing)"
downloadformat=excel,"Foreign direct investment, net (BoP, current US$)"
downloadformat=excel,"Foreign direct investment, net inflows (% of GDP)"
downloadformat=excel,"Foreign direct investment, net inflows (BoP, current US$)"
downloadformat=excel,"Foreign direct investment, net outflows (% of GDP)"
downloadformat=excel,"Foreign direct investment, net outflows (BoP, current US$)"
downloadformat=excel,GDP (constant 2010 US$)
downloadformat=excel,GDP (constant LCU)
downloadformat=excel,GDP (current LCU)
downloadformat=excel,GDP (current US$)
downloadformat=excel,GDP at market prices: linked series (current LCU)
downloadformat=excel,GDP deflator (base year varies by country)
downloadformat=excel,GDP growth (annual %)
downloadformat=excel,GDP per capita (constant 2010 US$)
downloadformat=excel,GDP per capita (constant LCU)
downloadformat=excel,GDP per capita (current LCU)
downloadformat=excel,GDP per capita (current US$)
downloadformat=excel,GDP per capita growth (annual %)
downloadformat=excel,"GDP per capita, PPP (constant 2011 international $)"
downloadformat=excel,"GDP per capita, PPP (current international $)"
downloadformat=excel,"GDP, PPP (constant 2011 international $)"
downloadformat=excel,"GDP, PPP (current international $)"
downloadformat=excel,GNI (constant 2010 US$)
downloadformat=excel,GNI (constant LCU)
downloadformat=excel,GNI (current LCU)
downloadformat=excel,GNI (current US$)
downloadformat=excel,GNI growth (annual %)
downloadformat=excel,GNI per capita (constant 2010 US$)
downloadformat=excel,GNI per capita (constant LCU)
downloadformat=excel,GNI per capita (current LCU)
downloadformat=excel,GNI per capita growth (annual %)
downloadformat=excel,"GNI per capita, Atlas method (current US$)"
downloadformat=excel,"GNI per capita, PPP (constant 2011 international $)"
downloadformat=excel,"GNI per capita, PPP (current international $)"
downloadformat=excel,"GNI, Atlas method (current US$)"
downloadformat=excel,"GNI, PPP (constant 2011 international $)"
downloadformat=excel,"GNI, PPP (current international $)"
downloadformat=excel,General government final consumption expenditure (% of GDP)
downloadformat=excel,General government final consumption expenditure (annual % growth)
downloadformat=excel,General government final consumption expenditure (constant 2010 US$)
downloadformat=excel,General government final consumption expenditure (constant LCU)
downloadformat=excel,General government final consumption expenditure (current LCU)
downloadformat=excel,General government final consumption expenditure (current US$)
downloadformat=excel,"Goods exports (BoP, current US$)"
downloadformat=excel,"Goods imports (BoP, current US$)"
downloadformat=excel,"Grants, excluding technical cooperation (BoP, current US$)"
downloadformat=excel,Gross capital formation (% of GDP)
downloadformat=excel,Gross capital formation (annual % growth)
downloadformat=excel,Gross capital formation (constant 2010 US$)
downloadformat=excel,Gross capital formation (constant LCU)
downloadformat=excel,Gross capital formation (current LCU)
downloadformat=excel,Gross capital formation (current US$)
downloadformat=excel,Gross domestic income (constant LCU)
downloadformat=excel,Gross domestic savings (% of GDP)
downloadformat=excel,Gross domestic savings (current LCU)
downloadformat=excel,Gross domestic savings (current US$)
downloadformat=excel,Gross fixed capital formation (% of GDP)
downloadformat=excel,Gross fixed capital formation (annual % growth)
downloadformat=excel,Gross fixed capital formation (constant 2010 US$)
downloadformat=excel,Gross fixed capital formation (constant LCU)
downloadformat=excel,Gross fixed capital formation (current LCU)
downloadformat=excel,Gross fixed capital formation (current US$)
downloadformat=excel,"Gross fixed capital formation, private sector (% of GDP)"
downloadformat=excel,"Gross fixed capital formation, private sector (current LCU)"
downloadformat=excel,Gross national expenditure (% of GDP)
downloadformat=excel,Gross national expenditure (constant 2010 US$)
downloadformat=excel,Gross national expenditure (constant LCU)
downloadformat=excel,Gross national expenditure (current LCU)
downloadformat=excel,Gross national expenditure (current US$)
downloadformat=excel,Gross national expenditure deflator (base year varies by country)
downloadformat=excel,Gross savings (% of GDP)
downloadformat=excel,Gross savings (% of GNI)
downloadformat=excel,Gross savings (current LCU)
downloadformat=excel,Gross savings (current US$)
downloadformat=excel,Gross value added at factor cost (constant 2010 US$)
downloadformat=excel,Gross value added at factor cost (constant LCU)
downloadformat=excel,Gross value added at factor cost (current LCU)
downloadformat=excel,Gross value added at factor cost (current US$)
downloadformat=excel,Household final consumption expenditure (annual % growth)
downloadformat=excel,Household final consumption expenditure (constant 2010 US$)
downloadformat=excel,Household final consumption expenditure (constant LCU)
downloadformat=excel,Household final consumption expenditure (current LCU)
downloadformat=excel,Household final consumption expenditure (current US$)
downloadformat=excel,Household final consumption expenditure per capita (constant 2010 US$)
downloadformat=excel,Household final consumption expenditure per capita growth (annual %)
downloadformat=excel,"Household final consumption expenditure, PPP (constant 2011 international $)"
downloadformat=excel,"Household final consumption expenditure, PPP (current international $)"
downloadformat=excel,"Household final consumption expenditure, etc. (% of GDP)"
