name,intro,address,tel,fax,email,site
卡塔尔国际银行（International Bank of Qatar）,简介：卡塔尔国际银行（International Bank of Qatar）是一家卡塔尔私营银行，该银行于1956年开始营业。它提供一系列的覆盖零售、私人和企业银行部门的产品和服务。它提供了一个广泛的覆盖欧洲、中东、亚洲和美国主要金融中心的国际业务范围。,,联系电话：+ 974 4447 8000,传真：+ 974 4413 1993,电子邮箱：enquiries@ibq.com.qa,网址：http://www.ibq.com.qa/default_en_gb.aspx?AspxAutoDetectCookieSupport=1
东帝汶国家商业银行（BNCTL）,,地址：Avenida BispoMedeiros，Caixa Postal 59 ?DILI，TIMOR-LESTE ,联系电话：+670 254001,,,
俄罗斯国有开发银行（Vneshekonombank）,,"地址：Vnesheconombank, Akademika Sakharova Prospekt, 9, Moscow, 107996, Russian Federation",联系电话：+7 (495) 721-18-63,传真：+7 (495) 721-92-91,电子邮箱：info@veb.ru,网址：http://www.veb.ru/en/
罗马尼亚国家基础设施项目、外国投资、公私合营和出口促进署,,"地址：No.18, Amiral Constantin Balescu, Sector 1, Bucharest",联系电话：0040-213185050,传真：0040-213111491,电子邮箱：office@dpiis.ro,网址：www.dpiis.ro
澳新银行（ANZ BANK）,,地址：3rd\xa0 Floor，Rua Presidente Nicolau Lobato，ComoroDili ,联系电话：+670 33 06100,,,
菲律宾能源调解委员会（Energy Regulatory Commission）,,"地址：Energy Regulatory Commission, Pacific Center Building, San Miguel Avenue, Ortigas Center 1600, Pasig City, Metro Manila, Philippines ",联系电话：(02) 689-5343,传真：(02) 631-5816,电子邮箱：info@erc.gov.ph,网址：http://www.erc.gov.ph/
俄罗斯联邦储蓄银行（SBERBANK）,,,联系电话：+7 (495) 500-55-50,,,网址：http://www.sberbank.ru/en/individualclients
"ALI BUDIARDJO, NUGROHO, REKSODIPUTRO（ABNR）",,"地址：Graha CIMB Niaga, 24th Floor Jl. Jend. Sudirman Kav. 58 Jakarta 12190",联系电话：+62 21 250 5125/5136,传真：+62 21 250 5001/5121/5122/5392,电子邮箱：info@abnrlaw.com ,网址：http://www.abnrlaw.com/
中资企业（菲律宾）协会（Chinese Enterprises Philippine Association）,,"地址：G/F Bank of China, Philam Life Tower, No. 8767 Paseo De Roxas Makali City, Metro Manila, Republic of the Philippines",联系电话：0063-28850470,传真：0063-28850547,电子邮箱：capa_11102004@yahoo.com,
保加利亚中国商会,,"地址：Hagexcga str. area 1, 150栋8层90号",,传真：00359-29388008,,
保加利亚外交部（The Republic of Bulgaria Ministry of Foreign Affairs）,,"地址：2, Aleksandar Zhendov Str., Sofia 1113, Bulgaria",联系电话：+359 948 2999,传真：+359 2 971 36 20/+359 2 971 28 42,电子邮箱：consular@mfa.bg,网址：www.mfa.government.bg
保加利亚经济和能源部（Republic of Bulgaria Ministry of Economy）,,"地址：8, Slavyanska Str. Sofia 1000, Bulgaria",联系电话：+359 2 940 7001,,电子邮箱：e-docs@mi.government.bg,网址：http://www.mi.government.bg/en
保加利亚财政部（Ministry of Finance of the Republic of Bulgaria）,,"地址：102, G. S. Rakovski str., Sofia, 1040",联系电话：+359 2 9859 1,,电子邮箱：feedback@minfin.bg,网址：http://www.minfin.bg/en/
"保加利亚交通、信息技术和通讯部（Ministry of Transport, Information Technologies and Communications）",,"地址： 9, Dyakon Ignatiy str. Sofia 1000","联系电话：02/988 - 5094, 02/ 940-9364",,,网址：https://www.mtitc.government.bg/index.php
保加利亚海关总署,,"地址：Rakovski ""47 Sofia 1202 Bulgaria",联系电话：+3592/9859 4210,传真：+3592/4061,电子邮箱：pr@customs.bg,网址：http://www.en.customs.bg/en/
保加利亚中小企业署（Bulgarian Small and Medium Enterprises Promotion Agency）,,"地址：2-4 Lege Str., 1000 Sofia, Bulgaria",联系电话：+359 2 940 7940,传真：+359 2 940 7993,电子邮箱：office@sme.government.bg,网址：http://www.sme.government.bg/en/
波黑Bosna Bank International,,"地址：Trg djece Sarajeva 1, 71000 Sarajevo",联系电话：+387 33 275-177,传真：+387 275-178,电子邮箱：bbi_centar@bbi.ba ,网址：http://www.bbi.ba/en/
波兰CMS Cameron McKenna律师事务所,,"地址：Cannon Place, 78 Cannon Street, London EC4N 6AF",联系电话：+44 (0)20 7367 3000,传真：+44 (0)20 7367 2000 ,电子邮箱：communications@cms-cmck.com,网址：http://www.cms-cmck.com/Poland
白俄罗斯能源部（Ministry of Energy of the Republic of Belarus）,,地址：220030，明斯克市，马克思大街14号,联系电话：（00375 17）218-21-02,传真：（00375 17）218-24-68,电子邮箱：minenergo@min.energot.by,网址：www.minenergo.gov.by
白俄罗斯JurZnak律师事务所,,"地址：220004,Minsk, Revolyutsionnaya St., 13, office 16",联系电话：+375 17 2 009 008,,电子邮箱：info@jurznak.by,网址：http://www.jurznak.by/eng/
白俄罗斯工商会（Belarusian Chamber of Commerce and Industry）,,"地址：220029, Minsk, 11, Kommunisticheskaya St.",联系电话：+375 17 290 72 49,传真：+375 17 290 72 48,电子邮箱：mbox@cci.by,网址：http://www.cci.by/en
白俄罗斯Revera Consulting Group,,"地址：220002, Republic of Belarus, Minsk, 8, Storozhevskaya str. ",联系电话：+375 17 286 08 30,,电子邮箱：info@revera.by,网址：http://revera.by/en/
波兰Chajec Don-Siemion & &#377;yto（CDZ）律师事务所,简介：2003年成立，所在地华沙，为波兰和外国企业提供以下咨询及法律服务：公司法、兼并收购、仲裁和诉讼、知识产权保护、私人股本基金和投资基金交易、证卷交易、劳动法、反垄断法、破产、电信和传媒、房地产、公私合伙、证券交易委员会行政诉讼等,"地址：Norway House, Ul. Lwowska 19, 00-660 Warszawa, Poland",联系电话：+48 22 492 40 00,传真：+48 22 492 40 01,电子邮箱：kancelaria@cdz.com.pl,网址：www.cdz.com.pl
东帝汶统计局（Statistics Timor-Leste）,,"地址：Rua de Caicoli, Apartado 10/PO Box 10, Dili, Timor-Leste",联系电话：+670 3311348/+670 333 9527,,电子邮箱：dge@mof.gov.tl,网址：http://www.statistics.gov.tl/
菲律宾信息和通讯技术委员会（Information and Communications Technology Office）,,"地址：C.P Garcia Ave., Diliman, Quezon City, Philippines 1101",联系电话：920-0101,,,网址：http://icto.dost.gov.ph/
"巴林外交部（Ministry of Foreign Affairs, Kingdom of Bahrain）",,"地址：P.O. Box 547Government RoadManama, Kingdom of Bahrain",联系电话：+973-17227555,,,网址：http://www.mofa.gov.bh/
巴林中央银行（Central Bank of Bahrain）,简介：巴林中央银行是该国的中央银行，主要负责国家货币政策和外汇汇率政策的制定、管理国家外汇储备和国债、监管国家支付和结算系统、本币发行以及对各类金融机构及资本市场和证券市场的监管。,"地址：King Faisal Highway, Diplomatic Area, Block 317, Road 1702, Building 96, Manama, Kingdom of Bahrain",联系电话：+973 1754 7777,传真：+973 1753 0399,,网址：http://www.cbb.gov.bh/
白俄罗斯工业部（Ministry of Industry of Republic of Belarus）,,地址：220033，明斯克市，游击队大街2号4栋,联系电话：（00375 17）224-95-95,传真：（00375 17）224-87-84,电子邮箱：minprom4@minprom.gov.by,网址：www.minprom.gov.by
巴林工商部（Ministry of Industry & Commerce）,简介：巴林工商部是巴林外商投资合作的政府主管部门，投资者中心（Bahrain Investors Center）负责有关具体事务。,,联系电话：(+973) 17568000/17574777（总机）（具体部门电话请见官网）,,,网址：http://www.moic.gov.bh/En/Pages/Home.aspx
不丹经济事务部（Ministry of Economic Affairs）,,,,,,网址：http://www.moea.gov.bt/content/index.php（下属各部门的官员联系方式请见官网“who is who”栏目）
不丹财政部（Ministry of Finance）,,,联系电话：+975-2-322223 / 322514 / 322271 / 327763 / 322285,传真：+975-2-323154,,网址：http://www.mof.gov.bt/
巴基斯坦拉合尔证券交易所（Lahore Stock Exchange）,,"地址：Lahore Stock Exchange Building, 19, Khayaban-e-Aiwan-e-Iqbal, P.O. Box: 1315, Lahore - 54000, Pakistan",联系电话：+92 (42) 3636 8000,传真：+92 (42) 3636 8484-85,电子邮箱：info@LSE.com.pk,网址：http://www.lse.com.pk/
巴基斯坦国民银行（National Bank of Pakistan）,,"地址：NBP Building, I.I. Chundrigar Road, Karachi, Pakistan",联系电话：+92-21-99220100 ,,,网址：https://www.nbp.com.pk/
富查伊拉工商会,,,联系电话：00971-92222400,传真：00971-92221464,电子邮箱：fujccia@emirates.net.ae,网址：www.fujairahchamber.uae.com
沙迦工商会（Sharjah Chamber of Commerce & Industry）,,,联系电话：0097165302222,传真：0097165302226,电子邮箱：scci@sharjah.gov.ae,网址：http://www.sharjah.gov.ae/EN/Pages/default.aspx
俄罗斯工业企业家联盟（Russian Union of Industrialists and Entrepreneurs）,,地址：俄罗斯联邦莫斯科市卡特里尼切斯卡?沿河街17号,联系电话：007-495-6630404,传真：007-495-6630432,电子邮箱：rspp@rspp.ru,网址：http://eng.rspp.ru/
埃及财政部（Ministry of Finance）,,"地址：Ministry of Finance Towers, Extension of Ramses Street, Nasr City, Cairo","联系电话：+20 (2) 2686-0606 / 7, +20 (2) 2432-3348 / 40, +20 (2) 2432-3842 / 10","传真：+20 (2) 2686-1761 / 1861, +20 (2) 2686-1680 ",电子邮箱：finance@mof.gov.eg; info@salestax.gov.eg ,网址：http://www.mof.gov.eg
埃及电力与能源部（Ministry of Electricity and Energy）,,"地址：8 Ramses Str., Abbassia Square, Nasr City, Cairo","联系电话：+20 (2) 2401-2361, +20 (2) 2401-2362,\xa0 ",传真：+20 (2) 2261-6302,电子邮箱：info@moee.gov.eg,网址：http://www.moee.gov.eg
埃及通讯与信息技术部（Ministry of Communication and Information Technology）,,"地址：KM 28 Cairo, Alexandria Road, Smart Village, Giza","联系电话：+20 (2) 3534-1010, +20 (2) 3534-1020",传真：+20 (2) 3537-1111,电子邮箱：ir@mcit.gov.eg,网址：http://www.mcit.gov.eg
葡萄牙国民海外银行大西洋银行,,,联系电话：(+670) 330 00 00,传真：(+670) 331 29 22,电子邮箱：cgd.timor@cgd.pt,
埃及企业家协会（Egyptian Businessmen’s Association）,,"地址：21 Giza St., Nile Tower, Giza, Cairo","联系电话：+20 (2) 2573-6030, +20 (2) 2572-3020, +2-0100-538-4604, +20 (100) 538-4605","传真：+20 (2) 2572-3855, +20 (2) 2573-7258",电子邮箱：eba@eba.org.eg,网址：http://www.eba.org.eg/
Egyptian Small Enterprise Development Foundation,,"地址：13 Salem Salem St., El Agouza, Giza, Cairo","联系电话：+20 (2) 3336-3980/1/2, +20 (2) 3336-0452",传真：+20 (2) 3336-3983,电子邮箱：esed00@hotmail.com,网址：http://www.esed.eg.org/
波兰Doma?ski Zakrzewski Palinka（DZP）律师事务所,简介：93年成立，在华沙、波兹南、伏罗茨瓦夫三市设有办事处，为波兰和外国企业提供以下咨询及法律服务：劳动法、公司法、兼并收购、商务合同、证券资本市场、私人股本基金和投资基金、银行业务和财务、保险和再保险、经济特区外国直接投资和运营、欧共体法律、知识产权保护、反垄断法和反不正当竞争保护、电信和IT、电子商务、广告和媒体法、公共采购、电力和基础设施、公私合伙、环保、重组和破产、私有化、房地产、仲裁和诉讼,"地址：Rondo ONZ 1, 00-124 Warszawa, Poland",联系电话：0048 22 5577600,传真：0048 22 5577601,,网址：www.dzp.pl
巴基斯坦水电发展署（Water Resources & Power Development Authority）,,"地址：WAPDA House, Sharah-e-Quaid-e-Azam, Lahore",联系电话：+92 42 99202633,,电子邮箱：wapdapr@gmail.com,网址：http://www.wapda.gov.pk/index.html
巴基斯坦国家银行（State Bank of Pakistan）,简介：巴基斯坦中央银行。主要职能：制定和执行货币政策；发行本国货币；监督管理银行系统秩序；实施外汇管理和维护合理汇率水平；防范和化解系统性金融风险，维护国家金融稳定等。,"地址：I.I. Chundrigar Road, Karachi,Pakistan",联系电话：111-727-111,传真：(+92-21) 9212433-9212436,,网址：http://www.sbp.org.pk/
Federation of Egyptian Industries,,"地址：1195 Corniche El Nil Street, Cairo ","联系电话：+20 (2) 2579-6590/1/2, +20 (2) 2579-7074/5/6 ","传真：+20 (2) 2579-6694, +20 (2) 2576-6672 ",电子邮箱：info@fei.org.eg ,网址：www.fei.org.eg
巴基斯坦第一妇女银行（First Women Bank Ltd.）,,"地址：S.T.S.M. Foundation BuildingCL/10/20/2, Beaumont RoadCivil Lines, Off Dr. Ziauddin Ahmed RoadKarachi?75530",联系电话：021-35657684-9 ,传真：021-35657756,,网址：http://www.fwbl.com.pk/
巴基斯坦卡拉奇证券交易所（Karachi Stock Exchange Limited）,简介：巴基斯坦证券市场对外资完全开放，外国投资者享有和本国投资者同等权利，且资本可以自由汇出。,"地址：Karachi Stock Exchange Limited, Stock Exchange Building, Stock Exchange Road,Karachi-74000, Pakistan",联系电话：(92-21) 111-001122,传真：(92-21) 3241 0825/(92-21) 3241 5136,电子邮箱：info@kse.com.pk,网址：http://www.kse.com.pk/
巴基斯坦联合银行有限公司（Allied Bank Limited）,,"地址：Allied Bank Limited, 4th Floor, Plot No. 74, Sheet GK-7, M.W. Tower, M.A. Jinnah Road, Karachi, Pakistan",联系电话： (+9221) 35301094 ,传真：(+9221) 32331784,,网址：https://abl.com/
巴基斯坦Habib Bank,,,,,电子邮箱：customer.complaints@hbl.com,网址：http://www.hbl.com/
埃及专利局（Egyptian Patent Office）,,"地址：101 Kasr Al Ainy st., Cairo, Egypt","联系电话：00202-27921291,27921274,27921272",传真：00202-27921272,电子邮箱：patinfo@egypo.gov.eg,网址：www.egypo.gov.eg 
埃及投资部投资与自由区总局,,"地址：Salah Salem Road, Fairgrounds, Nasr City-Cairo 11562-Egypt",联系电话：00202-22649029,传真：00202-24055434,,埃及投资部网址：http://www.investment.gov.eg/AR/Default.aspx
埃及司法部（Ministry of Justice）,,"地址: Justice & Finance Bldg., Lazoughly Sq., Cairo","联系电话: +20 (2) 2792-2263/5/7/9, +20 (2) 2795-1176",传真: +20 (2) 2795-8103,电子邮箱: mjustice@moj.gov.eg; info@moj.gov.eg,网址: http://www.moj.gov.eg
阿曼投资促进与出口发展公署（Public Authority of Investment Promotion & Export Development）,,"地址：P.O.Box:25, Al Wadi Al Kabir 117, Muscat, Sultanate of Oman",联系电话：00968-24623331（投资部）；24623364（出口部）,传真：00968-24623334,电子邮箱：info@ociped.com,网址：www.ociped.com
阿曼商工会（Oman Chamber of Commerce & Industry）,,"地址：P.O.Box: 1400, Ruwi 117, Muscat, Sultanate of Oman",联系电话：00968-24707674,传真：00968-24708497,电子邮箱：occi@chamberoman.com,网址：www.chamberoman.cm
阿曼工业区公署（The Public Establishment for Industrial Estates）,,"地址：P.O.Box 200, Rusayl, 124 Sultanate of Oman",联系电话：00968-24155100,传真：00968-24449095,电子邮箱：info@peie.om,网址：www.peie.om
阿曼商工部（Ministry of Commerce & Industry）,简介：阿曼商工部是外国投资的主管部门，其职能包括向投资者提供相关服务，审批投资申请，发放许可和商业注册。其所属“外国投资委员会（Foreign Capital Investment Committee）”具体负责审核外国投资申请，并就以下方面向大臣提出意见和建议：投资领域；是否属于经济发展项目；是否存在与《外国投资法》相冲突之处。阿曼对外国投资实行“国民待遇”，所有外国投资者享有与阿曼当地投资者同等待遇，可以与阿曼企业或个人合资经营，也可以合资注册，独立经营。,,,,,网址：www.mocioman.gov.om
阿曼中央银行（Central Bank of Oman）,,,联系电话：(+968) 24 777 777,传真：(+968) 24777723,电子邮箱：CBOPortalServices@cbo.gov.om,网址：http://www.cbo-oman.org/
阿曼马斯喀特证券交易所（Muscat Securities Market）,,"地址：P.O Box 3265 Postal Code 112, Ruwi Sultanate of Oman ",联系电话：+968-24823600 ext. 645/610/620,传真：+968-24823706,电子邮箱：info@msm.gov.om,网址：https://www.msm.gov.om/
阿曼联合证券公司（United Securities LLC.）,,"地址：Building No. 36, Al farihidi Street, mumtaz Area",联系电话：968 24763300,传真：968 24788671,电子邮箱：info@usoman.com,网址：http://usoman.com.om/
阿曼招标委员会（Oman Tender Board）,,"地址：P.O.Box 787 Al Khuwair 133 Muscat, Sultanate of Oman",联系电话：00968-24602612,传真：00968-24602063,电子邮箱：tenderom@omantel.net.om,网址：www.tenderboard.gov.om
中华人民共和国驻斯里兰卡民主社会主义共和国大使馆,,地址：斯里兰卡科伦坡七区维迪亚路120/3B号（使馆后门）,,传真：+0094-11-2688611,电子邮箱：consulate_lka@mfa.gov.cn,网址：http://lk.china-embassy.org/chn/
中华人民共和国驻沙特阿拉伯王国大使馆,,地址：利雅得市使馆区,,电话： 00966-11-4832126转105 \u3000\u3000传真： 00966-11-2812084,电子邮箱：consulate_sau@mfa.gov.cn,网址：http://www.chinaembassy.org.sa/chn/
中华人民共和国驻泰王国大使馆,,地址：57 Ratchadaphisek Road，Bangkok 10400，Thailand,,传真：0066-2-2468247,,网址：http://www.chinaembassy.or.th/chn/
埃及外交部（Ministry of Foreign Affairs）,,"地址：Maspero, Corniche El Nil, Cairo","联系电话：+20 (2) 2574-9820 / 1, +20 (2) 2574-9816 / 7,\xa0 ","传真：+20 (2) 2574-8822, +20 (2) 2574-9533,\xa0 ",电子邮箱： mofainfo@idsc.net.eg; Contact.Us@mfa.gov.eg,网址：http://www.mfa.gov.eg
中华人民共和国驻斯洛文尼亚共和国大使馆,,地址：Koblarjeva 3，1000 Ljubljana，Republic of Slovenia,,传真：00386 14202859,,网址：http://si.china-embassy.org/chn/
中华人民共和国驻土库曼斯坦大使馆,,地址：土库曼斯坦阿什哈巴德市阿尔恰比尔大街45号 ,,,,网址：http://tm.china-embassy.org/chn/\u3000
中华人民共和国驻塞尔维亚共和国大使馆,,"地址：Augusta Cesarca 2V, 11000 Beograd",,传真：+381-11-3693163,,网址：http://rs.chineseembassy.org/chn/
吉尔吉斯斯坦Rusto-Rpsti Legal Company律师事务所,,办公地址：\xa0182 Chui Pr. Bishkek,联系电话：\xa000996-312-256580 257845/695000,,,
"老挝Allen & Gledhill (Laos) Co., Ltd律师事务所",,"办公地址：Level 5, Lao Securities Exchange Building, T4 Road, Phonthanh Village, Saysettha District, Vientiane Capital, Lao PDR",联系电话：+856 21 419237 / 419247,,,网址：http://www.allenandgledhill.la/
老挝LAO LAW & CONSULTANCY律师事务所,"简介：It provides a full range of legal services, including legal advice generally IPO (Laos, China, Hongkong, and overseas stock exchanges ) litigation and enforcement legal drafting investment consultancy obtaining investment, business and tax licenses specialised advice regarding the law, decrees and regulations of Lao PDR associated with trade, investment, customs and other areas specialization in the area of intellectual property law, including trademark, patent, petty patent and industrial designs, as below. ENERGY (Oil/Gas/Hydro) Mining (Gold, Copper, Potash, Sinc, Tin, Coal and other minerals)","办公地址：LLC Bldg, Nongbone Road Ban Nongbone Saysetha District P.O.BOX 925 Vientiane, Lao PDR",联系电话：+ (856 21) 264 866,,,网址：www.laolaws.com
拉脱维亚Agency TRIA ROBIT律师事务所,"简介：Agency TRIA ROBIT is the leading firm of patent and trademark attorneys in the Baltic States. We were founded in 1991 by Vladimir Anohin and have built one of the largest and most successful intellectual property practices in Eastern Europe with a significant international reputation. The firm has its head office in Riga, Latvia, as well as an office in Moscow, Russia, sharing centralized services and linked by fully integrated computer systems.","办公地址：5 Vilandes St., Riga, LV 1010, LATVIA",联系电话：+371 67320300,,,网址：\xa0http://www.triarobit.com/
拉脱维亚AmberLaw律师事务所,,"办公地址：rivibas Street 57 ? 13, Riga Latvija, LV-1010",联系电话：(+371) 67 289 101,,,网址：http://amberlaw.lv/en/birojs/par-mums
拉脱维亚Borenius律师事务所,,"办公地址：Lacplesa Street 20a, LV-1011, Riga, Latvia",联系电话：+371 6 7201 800,,,网址：http://borenius.lv/en/
拉脱维亚Skudra & Udris律师事务所,,"办公地址：Marijas iela 13 (Korpuss 3), Bergs Bazārs, Riga, LV 1050, Latvia",联系电话：(+371) 678 120 78,,,网址：\xa0http://su.lv/en/about-us
立陶宛Borenius律师事务所,,"办公地址：J. Jasinskis st. 16A, 8 floor, LT?03163 Vilnius, Lithuania",联系电话：+370 5264 9555,,,网址：www.borenius.lt
立陶宛R&ouml;dl&Partner律师事务所,简介：R?dl&Partner自1993年起进驻波罗的海国家，初期为拉脱维亚及爱沙尼亚。自1995年起，在立陶宛为我们的客户在其相关行业提供法律、会计、税务以及审计领域的专业服务。目前，立陶宛分支机构拥有30名高素质的专业人士，拥有丰富的国际及国内法律、审计、会计和税务经验。,,联系电话：+370 52 12 35 90,,,网址：http://www.roedl.com/pl/en/home.html
中华人民共和国驻黎巴嫩共和国大使馆,,"地址：72, Rue Nicolas Ibrahim Sursock Ramlet El-Baida, Beirut, Lebanon",,传真：01-822492,,网址：http://lb.china-embassy.org/chn/
中华人民共和国驻菲律宾共和国大使馆,,"地址：2nd & 3rd Floor, the World Center, 330 Sen. Gil J. Puyat Avenue, Makati City, Metro Manila, Republic of the Philippines",,传真：0063-2-8452465（办公室）,,网址：http://www.fmprc.gov.cn/ce/ceph/chn/\u3000
中华人民共和国驻俄罗斯联邦大使馆,,,,传真：007-499-9518436\u3000,,网址：http://ru.china-embassy.org/chn/\u3000
中华人民共和国驻东帝汶民主共和国大使馆,,"地址：东帝汶帝力市椰林区葡萄牙大道Av. de Portugal, Praia dos Coqueiros, Dili, Timor-Leste \u3000 ",联系电话：+670-3325169,传真：+670-3325166,电子邮箱：consulate_tmp@mfa.gov.cn,网址：http://tl.chineseembassy.org/chn/
保加利亚Boteva & Kantutis Law Office律师事务所,电子邮件：office@bklegal.com\xa0简介：成立于1994年，客户既有大公司也包括中小企业，主要包括商法合同法、会计和税务、领域。客户包括英航、壳牌、荷兰驻保使馆、Best Western Hotel、道达尔等。,,联系电话：00359 2 9817650,,,
中华人民共和国驻格鲁吉亚大使馆,,"地址：52 Barnov Str., Tbilisi,Georgia ",,传真：00995-32-2251186（商务处）,电子邮箱：yfarm@access.sanet.ge,网址：http://www.fmprc.gov.cn/ce/cege/chn/\u3000
埃及规划与国际合作部（Ministry of Planning & International Cooperation）,,"地址：8 Adly Street, Cairo Or Salah Salem Road, Nasr City, Cairo","联系电话：+20 (2) 2390-6027, +20 (2) 2393-5147,\xa0 ","传真：+20 (2) 2390-8159, +20 (2) 2401-4733/4705",电子邮箱：mnafeh@idsc.net.eg; udardeer@hotmail.com,网址：http://www.mop.gov.eg
中华人民共和国驻科威特国大使馆,,"地址：No.82, Street 1, Block 4, Yarmouk, Kuwait",,传真：00965-25333341,电子邮箱：chinaemb_kw@mfa.gov.cn,网址：http://kw.china-embassy.org/chn/
阿布扎比证券交易所（ADX）,,"办公地址：Al Ghaith Tower, Hamdan Street, Abu Dhabi",联系电话：\xa0+971 2 6277777 ,,,网址：\xa0www.adx.ae
中华人民共和国驻阿拉伯埃及共和国大使馆,,"地址：14 Bahgat Aly Street, Zamalek, Cairo, Egypt",,传真：（00202）27359459,,网址：http://eg.china-embassy.org/chn/
中华人民共和国驻巴林王国大使馆,,"地址：Building 158，Road 382，Juffair Ave.，Block 341, Manama，Kingdom of Bahrain",,传真：（973）17727304,,网址：http://bh.china-embassy.org/chn/
中华人民共和国驻阿曼苏丹国大使馆,,"地址：Embassy District in Khuwair, Muscat, Oman",,传真：00968-24958068/24958055,,网址：http://om.chineseembassy.org/chn/
阿联酋司法部（United Arab Emirates Ministry of Justice）,,"办公地址：Al Khubirah, Sector 93, Street 5",联系电话：+971 2 6921000 ,,,网址：http://ejustice.gov.ae/portal/page/portal/eJustice%20MOJ%20Portal/HomePages/Home%20Page%20HQ
阿联酋马士礼格银行（Mashreq Bank）,,,联系电话：\xa0+971 4 4244444（Dubai）；+971 2 6274737（AbuDhabi）,,,网址：\xa0http://www.mashreqbank.com/uae/en/index.aspx
中华人民共和国驻阿尔巴尼亚大使馆,,"地址：SKENDERBEJ STR.57, TIRANA, ALBANIA",,传真：00355－4-2233159,,网址：http://al.china-embassy.org/chn/
阿富汗投资促进局（AISA）,,地址：阿富汗外交部对面,,传真：0093-20-2103402,,网址：www.aisa.org.af 
中华人民共和国驻斯洛伐克共和国大使馆,,地址：斯洛伐克共和国布拉迪斯拉发市扬乔娃大街8B号,,传真：00421-2-62804289（办公室）,,网址：http://sk.china-embassy.org/chn/
阿富汗外交部（Ministry of Foreign Affairs）,,"办公地址：\xa0Ministry of Foreign Affairs of Afghanistan Malek Asghar St.Kabul, Afghanistan","联系电话：\xa00093-202100372,700104173",,,网址：\xa0www.mfa.gov.af
阿富汗商工部（Ministry of Commerce and Industries）,,"办公地址：\xa0Darluman Road Kabul, Afghanistan",联系电话：\xa00093-700225718,,,网址：\xa0www.commerce.gov.af
埃及中资企业商会,,,联系电话：0020-2-33756648,传真：0020-2-25168991,电子邮箱：mahong@cntic.genertec.com.cn,
立陶宛R&ouml;dl & Partner,,,联系电话：+370 5 212 35 90,传真：+370 5 279 15 14,电子邮箱：vilnius\u200e@\u200eroedl.pro,网址：www.roedl.com/lt
阿塞拜疆税务部,,,联系电话：00994-12-4385587/4301656,传真：00994-12-5985407,电子邮箱：office@taxes.gov.az,网址：http://www.taxes.gov.az/index.php
阿富汗通讯部（Ministry of Communication）,,"办公地址：\xa06th Floor, ICT Directorate Ministry of Communication and Information Technology, Mohammad Jan Khan Watt Kabul, Afghanistan ","联系电话：\xa00093-202101113,202101104",,,网址：\xa0www.moc.gov.af
阿富汗经济部招标信息办公室（ARDS-Afghanistan Reconstruction and Development Services）,,"办公地址：\xa0Ministry of Economy, 4th Floor & 5th Floor, Malik Asghar Square, Kabul ",,,,网址：\xa0www.ards.gov.af 
埃及商会联合会（Federation of Egyptian Chambers of Commerce）,,"地址：31 Chamber of Commerce St., Mahtet El-Raml, Alexandria","联系电话：+20 (2) 2795-3677, +20 (3) 483-7808","传真：+20 (2) 2795-1164, +20 (3) 487-3806 ",,
爱沙尼亚律师协会（Estonian Bar Association）,,"地址：R?vala pst 3, Tallinn, 10143, Estonia",联系电话：+372 662 0665,传真：+372\xa0 662 0677,电子邮箱：advokatuur@advokatuur.ee,网址：https://www.advokatuur.ee/eng/frontpage
阿联酋财政部（United Arab Emirates Ministry of Finance）,,,联系电话：Abu Dhabi: +971 2 6726000\xa0\xa0\xa0 Dubai: +971 4 3939000 ,,,网址：http://www.mof.gov.ae
爱沙尼亚工商会,,,联系电话：+372 604 0060,传真：+372 604 0061,电子邮箱：koda@koda.ee,网址：http://www.koda.ee/en
爱沙尼亚贸易商协会（Estonian Traders Association）,,"地址：Kiriku 6, 10130 Tallinn Estonia",联系电话：+372 6201 914，+372 6418 474,,电子邮箱：info@kaupmeesteliit.ee,网址：http://www.kaupmeesteliit.ee/et
巴基斯坦中资企业协会,,"地址：Karachi, 8th floor, Parsa Tower 31-1-A, Shahrah-E-Faisal, Karachi.",联系电话：0092-51-2610828,,,
巴基斯坦工商联合会（The Federation of Chamber of Commerce & Industry）,,"地址：Federation House,Main Clifton,Karachi-75600. ",联系电话：92-21-5873691-93-94,传真：92-21-5874332,电子邮箱：fpcci@cyber.net.pk，info@fpcci.com.pk,网址：www.fpcci.com.pk
"巴基斯坦投资局（Board of Investment, BOI）",,"地址：Ataturk Avenue, G-5/1, Islamabad","联系电话：0092-51-9206164,9211666",传真：0092-51-9215554，9206160,电子邮箱：mail@pakboi.gov.pk,网址：www.pakboi.gov.pk
爱沙尼亚建筑师协会（The Union of Estonian Architects）,,,联系电话：(+372) 6117430 ,传真：(+372) 64117434,电子邮箱：info@arhliit.ee\xa0 ,网址：http://www.arhliit.ee/english/
爱沙尼亚建筑企业协会（Estonian Association of Construction Entrepreneurs）,,"地址：P?rnu mnt 141, 11314 Tallinn Estonia",联系电话：+372 687 0435,传真：+372 687 0441,电子邮箱：eeel@eeel.ee ,网址： http://www.eeel.ee/Eng
爱沙尼亚中小企业协会（Estonian Association of SME's）,,"地址：P?rnu mnt 21, 10141 Tallinn",联系电话： +3726410920,,电子邮箱：evea@evea.ee,网址：http://www.evea.ee/
